brand,model,year,km_driven,fuel,transmission,owner,engine,max_power,seats,selling_price
Volkswagen,Passat,2008,199393,Diesel,Manual,First Owner,1571,122,7,616371
Volkswagen,Tiguan,2010,159794,Diesel,Manual,First Owner,1383,181,4,819622
Kia,Cerato,2008,152127,Petrol,Automatic,First Owner,2839,371,5,1746249
Ford,Focus,2013,188013,Diesel,Automatic,Second Owner,1636,180,5,1397828
Toyota,Corolla,2020,30353,Diesel,Automatic,Third Owner,2083,92,7,1646620
Hyundai,Tucson,2011,246774,Diesel,Manual,Third Owner,2200,391,7,1328831
Ford,Mondeo,2014,189699,Petrol,Manual,Third Owner,1933,218,4,1392433
Ford,Focus,2011,104647,Diesel,Automatic,Third Owner,2494,153,5,1412421
Mercedes,C200,2016,188977,Hybrid,Manual,Third Owner,3600,157,7,3084124
Volkswagen,Passat,2013,126178,Diesel,Automatic,Third Owner,3818,355,4,2139228
Volkswagen,Polo,2009,65043,Petrol,Automatic,Second Owner,2096,103,4,1022301
Kia,Cerato,2018,60738,Hybrid,Automatic,Second Owner,3633,304,4,2513614
Mercedes,C200,2015,200294,Hybrid,Automatic,Third Owner,3394,289,7,3617306
Hyundai,Sonata,2015,41262,Hybrid,Automatic,First Owner,1192,126,4,1374283
Volkswagen,Passat,2021,161345,Petrol,Automatic,Second Owner,3440,309,7,1957072
Mercedes,GLA,2008,183332,Hybrid,Manual,Third Owner,3199,206,7,2743842
Mercedes,C200,2017,118971,Petrol,Automatic,First Owner,3957,204,7,3263683
Ford,Focus,2024,244239,Petrol,Automatic,Third Owner,3079,381,4,2373009
BMW,X5,2013,146394,Hybrid,Manual,Third Owner,2327,320,4,3170058
Toyota,Camry,2017,67770,Petrol,Manual,Third Owner,1322,113,7,983414
Hyundai,Elantra,2012,38657,Hybrid,Automatic,Third Owner,1676,205,7,2006433
Ford,Kuga,2021,60521,Hybrid,Manual,Third Owner,2276,274,7,2221491
Volkswagen,Polo,2022,240828,Hybrid,Automatic,First Owner,2015,185,4,1893223
Mercedes,C200,2015,159256,Petrol,Manual,First Owner,3899,393,4,3285125
BMW,320,2009,230348,Diesel,Manual,Third Owner,1974,212,7,2233746
